NAME,DISTRICT,ADDRESS,ZIPCODE,WEBSITE,LAT,LNG
Lloyd Hall,5,1 JOHN B KELLY DR,19130,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=927,39.9689278735,-75.1852103017
Schmidt,3,113-23 W ONTARIO ST,19140,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=828,40.001958479,-75.1293727529
Hayes,1,9850 E ROOSEVELT BLV,19115,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=759,40.090360211,-75.0218755067
C. B. Moore,6,2020-50 W LEHIGH AVE,19132,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=796,39.9936159568,-75.1676353776
Jerome Brown,4,1927-41 W ONTARIO ST,19140,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=770,40.0063577291,-75.161332075
Hunting Park,3,1101 W HUNTING PARK AVE,19140,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=863,40.016840113,-75.1436772724
Wissinoming,2,5801 FRANKFORD AVE,19135,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=854,40.0244429836,-75.0685554032
Awbury,4,6101 ARDLEIGH ST,19138,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=708,40.0536466115,-75.1631870467
Fisher Park,3,6000 N 05TH ST,19120,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=866,40.0433523595,-75.1317426039
Junod,1,3102 MECHANICSVILLE RD,19154,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=769,40.1036765697,-74.9692300674
Eastwick Regional,8,80TH ST & MARS PL,19153,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=734,39.9052897429,-75.2513876639
Palmer,1,11701 THORNTON RD,19154,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=807,40.0979776788,-74.99004398
J. Finnegan,8,6801 GROVERS AVE,19142,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=740,39.9148324166,-75.2314603307
Lawncrest,3,6000 RISING SUN AVE,19111,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=777,40.0466899744,-75.1015937824
Vogt,2,4131 UNRUH AVE,19135,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=846,40.0292052918,-75.0495817917
American Legion,2,6201 TORRESDALE AVE,19135,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=703,40.0187173864,-75.0535747517
Jacobs,1,9050 TORRESDALE AVE,19136,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=767,40.0512439941,-75.0022270618
Fox Chase,1,601 BORBECK AVE,19111,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=745,40.073019487,-75.0811235367
Torresdale,1,9550 FRANKFORD AVE,19114,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=841,40.05901586,-74.9979834804
Simons,4,1601-35 E WALNUT LA,19138,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=834,40.0608694969,-75.1581413958
Olney,3,100 E GODFREY AVE,19120,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=806,40.0425482436,-75.1168858953
Russo Park,1,7301 TORRESDALE AVE,19136,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=824,40.0300597672,-75.033188458
Max Myers,1,1601 HELLERMAN ST,19149,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=803,40.0383013925,-75.070252822
Chalfont,1,4336 DEERPATH LA,19154,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=719,40.0806907529,-74.9737095489
Gustine,4,4868 RIDGE AVE,19129,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=875,40.0126024129,-75.2027660911
Lackman,1,800 BARTLETT ST,19115,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=774,40.1006517936,-75.0329950778
Gambrel,2,1900 WAKELING ST,19124,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=749,40.0140714088,-75.0756338916
